    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (1,106,11,815,42,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (49,194,0,643,112,51);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (50,242,0,652,58,48);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (51,45,66,831,25,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (52,214,18,664,66,38);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (53,137,47,708,61,47);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (54,212,64,426,149,149);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (55,9,89,804,80,18);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (56,140,0,790,35,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (57,61,88,823,11,17);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (58,157,0,795,25,23);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (59,272,0,644,42,42);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (60,186,56,673,52,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (61,226,71,627,41,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (62,139,0,799,37,25);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (63,187,66,654,60,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (64,47,47,874,16,16);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (65,275,204,335,90,96);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (66,213,52,596,88,51);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (67,114,62,767,26,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (68,190,8,707,43,52);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (69,122,35,735,35,73);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (70,161,142,624,44,29);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (71,110,170,660,30,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (72,102,62,794,18,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (73,164,34,692,75,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (74,134,114,696,28,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (75,133,71,686,80,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (76,121,145,686,24,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (77,107,58,757,44,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (78,328,0,563,60,49);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (79,171,28,710,44,47);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (80,86,22,827,30,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (81,54,70,842,16,18);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (82,152,103,696,31,18);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (83,55,92,783,33,37);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (84,111,80,746,39,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (85,126,106,680,58,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (86,145,36,716,61,42);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (87,102,77,747,43,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (88,70,48,811,37,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (89,150,0,743,73,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (90,144,132,655,39,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (91,16,16,906,16,46);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (92,111,111,711,45,22);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (93,128,114,703,25,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (94,145,118,673,9,55);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (95,96,78,748,35,43);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (96,83,43,822,21,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (97,119,12,797,36,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (98,116,45,769,39,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (99,89,7,832,44,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (100,118,47,771,40,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (101,98,206,630,33,33);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (102,249,1,586,112,52);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (103,77,308,577,19,19);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (104,153,106,682,35,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (105,163,129,611,57,40);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (106,131,74,727,32,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (107,82,82,779,35,22);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (108,177,3,783,23,14);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (109,129,59,659,129,24);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (110,99,49,743,99,10);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (111,124,100,677,51,48);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (112,204,0,691,57,48);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (113,59,245,647,20,29);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (114,170,110,660,30,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (115,127,11,757,66,39);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (116,271,2,600,98,29);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (117,208,0,715,50,27);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (118,228,5,685,53,29);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (119,99,120,739,28,14);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (120,109,57,757,41,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (121,142,0,768,58,32);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (122,65,72,808,29,26);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (123,205,57,631,73,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (124,248,44,579,93,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (125,120,29,792,28,31);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (126,199,5,686,63,47);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (127,69,82,787,33,29);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (128,111,124,673,60,32);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (129,135,51,716,62,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (130,240,0,644,81,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (131,107,106,731,28,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (132,204,2,699,60,35);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (133,127,92,705,46,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (134,215,88,553,93,51);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (135,167,0,722,56,55);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (136,138,119,697,28,18);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (137,184,36,670,65,45);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (138,268,0,714,9,9);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (139,167,0,773,40,20);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (140,136,0,722,88,54);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (141,211,25,656,63,45);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (142,241,0,636,83,40);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (143,88,68,778,26,40);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (144,115,44,761,36,44);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (145,184,0,728,56,32);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (146,155,83,607,83,72);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (147,91,43,810,28,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (148,145,14,765,48,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (149,60,105,756,56,23);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (150,130,100,683,45,42);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (151,111,143,666,38,42);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (152,155,59,679,48,59);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (153,135,79,716,23,47);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (154,186,0,730,48,36);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (155,87,109,750,31,23);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (156,77,149,732,21,21);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (157,151,2,789,28,30);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (158,75,44,838,9,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (159,177,3,722,70,28);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (160,205,3,703,55,34);
    INSERT INTO PlayerTendancies (PlayerId, TwoPointTendancy, ThreePointTendancy, PassTendancy, FouledTendancy, TurnoverTendancy) VALUES (161,242,48,588,66,56);
